model,train_rmse,train_mae,train_r2,train_mape,test_rmse,test_mae,test_r2,test_mape,cv_rmse_mean,cv_rmse_std
random_forest,2.0722350236540352,1.28494021358414,0.9505699350572776,6.445140389703366,3.1360493078544436,2.1478552280532,0.8658898417964692,11.578635867890027,4.111507767980957,0.44573567183375884
xgboost,0.3555994934394763,0.2688018279500527,0.9985444221803769,1.4091426437625831,2.689565036563681,1.9512814222597608,0.9013584220782489,10.591333147244896,3.9209434796855134,0.6883694982325442
lightgbm,1.509365229182409,0.9338937173203593,0.9737758244232559,4.712789221844258,3.394478350307448,2.2403509364792966,0.8428761919248674,11.708093300395623,3.781866646527001,0.5840114143108168
catboost,1.8311450616397333,1.411530165927262,0.9614025456719182,7.498394212151652,3.0496752737753194,1.8682298958667387,0.8731755150945412,9.911939880890662,3.634664741985701,0.5754100750646067
ridge,4.558329197163979,3.28468274869603,0.76082018025136,16.197319176112927,4.597318387274747,2.999402532562531,0.7117926357655895,15.194077973864422,4.765915743821908,0.41633539603803654
elastic_net,5.679761813346422,3.914289101611082,0.6286585671446923,20.32023256472935,5.335551839469768,3.4929091328828688,0.6118008344199017,18.691057016048482,5.757651628556758,0.48034685206845196
mlp,4.542966018326598,3.119881189839414,0.762429704223924,15.652312547278846,5.2786205726131294,3.1354193081777435,0.6200409422666986,16.564531673589983,6.532252883439973,2.396958496911901
